file,sha256,center_hz,sample_rate,gain_db,iq_pairs,tx_key,te,repeat,analysis_window_pairs,analysis_threshold,analysis_crop_start_window,analysis_crop_end_window,class_count,class_digest,inferred_base,notes
quiet-433920000.iq,600d0c1737d6288757cf4d888b6f5bc6bc635d6c6e45014d8cd72adf6bdea6f4,433920000,250000,28.0,1250000,,,,20,131072,,,0,d41d8cd98f00b204e9800998ecf8427e,1,negative control; canonical full-file analysis
te1020-keycafe42-rep10-433920000.iq,98821782fe7af00c21dd51408124521ef2befdaadf10a532db16097c7a15b625,433920000,250000,28.0,1250000,CAFE42,1020,10,20,131072,,,499,9892ff8172cf89f3c143fab27cfafd98,13,canonical full-file CAFE42 family
te1040-key7ea5b0-rep10-433920000.iq,6e72576510442dc8999c03e66721c0189f4094d61a4950cfb5b204a8901090a5,433920000,250000,28.0,1250000,7EA5B0,1040,10,20,131072,,,499,c7ae6bd72816cb7860be44be68a3e42b,14,canonical full-file 7EA5B0 family
te1090-key1ceb00-rep10-433920000.iq,101df7d92da2df97c3626ee5f5b84b2af09f87ccfbf890a289923e7f3bd65292,433920000,250000,28.0,1250000,1CEB00,1090,10,20,131072,,,499,6b8e88830c92d7161379dbab96d29486,14,canonical full-file 1CEB00 family
te1250-keyc0ffee-rep10-433920000.iq,5d2764385bb1f8a66320f2db9f6c11f470efe4156d77f1d3528528b59b969494,433920000,250000,28.0,1250000,C0FFEE,1250,10,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,16,canonical full-file C0FFEE family
te1330-keydead12-rep10-433920000.iq,ca2f5b8ddba431b125d0d0837b0c01b1061e4284b7f66764eeb6d2938471642a,433920000,250000,28.0,1250000,DEAD12,1330,10,20,131072,,,499,a57783a97009fc13b6e255e487f6e7aa,17,canonical full-file DEAD12 family
te1360-keycafe42-rep10-433920000.iq,e0b0b3bac8b9c5c5fcb1f4fa5146a4c0c65f3cbbdd40d0f83f8068de9f83b747,433920000,250000,28.0,1250000,CAFE42,1360,10,20,131072,,,499,9892ff8172cf89f3c143fab27cfafd98,18,canonical full-file CAFE42 family
te1400-keyface01-rep10-433920000.iq,95da58e07df9df3b3d728da4d56c51da41559c6ffeb9432ba50856766510ac51,433920000,250000,28.0,1250000,FACE01,1400,10,20,131072,,,499,065e905b4444fd83c706b64c68675320,18,canonical full-file FACE01 family
te1440-keyabcd10-rep10-433920000.iq,fd905df13d3823cda4e2c00de39b17565eaee569822b14e68fc44b322051329e,433920000,250000,28.0,1250000,ABCD10,1440,10,20,131072,,,499,06017c95923ccb6afe1fa249c8d798b8,18,canonical full-file ABCD10 family
te1450-keyd15ea5-rep10-433920000.iq,694c6c483e9c4d078966e4ffc9ade9db6f057fe9813fb1c7013a9061e2f59414,433920000,250000,28.0,1250000,D15EA5,1450,10,20,131072,,,499,0ce096fea1adcd848b8e0f359833feca,18,canonical full-file D15EA5 family
te1550-keyb16b00-rep10-433920000.iq,6ea8ba0203161297a2476f27cf38c1d5d847107f68725d2b93b15bae2d794806,433920000,250000,28.0,1250000,B16B00,1550,10,20,131072,,,499,782fbf6929fb12a9430159f2e512ec13,20,canonical full-file B16B00 family
